6723,The Rookie,False,en,Action|Comedy|Crime|Drama|Thriller,Malpaso Productions|Warner Bros.,0,1990-12-06,120,"Veteran cop Nick Pulovski (Clint Eastwood) is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie (Charlie Sheen) who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope.",0
11077,Problem Child,False,en,Comedy,Imagine Entertainment|Universal Pictures,10,1990-07-27,81,"Ben Healy (John Ritter) and his social climbing wife Flo adopt Junior a fun-loving seven year old. But they soon discover he's a little monster as he turns a camping trip, a birthday party and even a baseball game into comic nightmares. But is he really just a little angel trying to get out? Find out in this hilarious satire on modern-day family life.",53
20701,Tales from the Darkside,False,en,Comedy|Fantasy|Horror,Darkside Movie|Laurel Productions|Paramount Pictures,3,1990-05-03,93,"The first segment features an animated mummy stalking selected student victims; the second tale tells the story of a ""cat from hell"" who cannot be killed and leaves a trail of victims behind it; the third story is about a man who witnesses a bizarre killing and promises never to tell what he saw and the ""in-between"" bit is the story of a woman preparing to cook her newspaper boy for supper.",16
20481,Nightbreed,False,en,Action|Drama|Fantasy|Horror|Romance,Morgan Creek Productions|Seraphim Films|Twentieth Century Fox Film Corporation|Warner Home Video,11,1990-02-16,102,A troubled young man is drawn to a mythical place called Midian where a variety of monsters are hiding from humanity.,8
12157,Green Card,False,en,Comedy|Drama|Romance,Touchstone Pictures,0,1990-12-23,108,"Urban horticulturalist Brontë Mitchell has her eye on a gorgeous apartment, but the building's board will rent it only to a married couple. Georges Fauré, a waiter from France whose visa is expiring, needs to marry an American woman to stay in the country. Their marriage of convenience turns into a burden when they must live together to allay the suspicions of the immigration service, as the polar opposites grate on each other's nerves.",29888235
2612,Mr. Destiny,False,en,Comedy|Fantasy|Romance|Science Fiction,Touchstone Pictures,20000000,1990-10-12,110,"Larry Burrows is unhappy and feels powerless over his life. He believes his entire life could have turned out differently had he not missed that shot in a baseball game when was a kid. One night he meets this mysterious man, who could change his fate by offering him that alternative life he always dreamed of. But as Burrows embarks on this journey of self discovery he realises that even this new life has its problems and drawbacks..",15379253
60577,Bullseye!,False,en,Comedy,21st Century Film Corporation|Columbia Pictures,0,1990-11-02,95,"Michael Caine, Roger Moore and Sally Kirkland star as three of the most unlikely rogues to ever score a heist. Hidden away in a vault is a fortune in diamonds, payment for a secret formula two government scientists have unscrupulously sold to the highest bidder. These three know the whereabouts of this treasure and pull off a daring scheme to steal it. But now they've trapped themselves into either helping the government capture the scientists or going to jail.",0
37865,Buried Alive,False,en,Horror|TV Movie|Thriller,Niki Marvin Productions|Universal TV,0,1990-05-09,93,"Clint is an every day working man whose wife Joanna is having an affair with a doctor. They plot to kill him and get the insurance money. Only trouble the drug overdose they give him doesn't kill him. Lucky for Clint he's buried in a cheap wooden box and he unburies himself. Just remember, Hell hath no fury like a man buried alive!",0
21811,Ski School,False,en,Comedy,Moviestore Entertainment|Rose & Ruby Productions,0,1990-01-01,95,"Rival groups in a skiing school do battle on and off the piste. One gang are rich and serious, the other group are party animals.",0
10164,Cadillac Man,False,en,Comedy|Drama,Orion Pictures,0,1990-05-18,97,"Joe's a car salesman with a problem. He has two days to sell 12 cars or he loses his job. This would be a difficult task at the best of times but Joe has to contend with his girlfriends (he's two timing), a missing teenage daughter and an ex-wife. What more could go wrong ?.. a lot, enter a crazy jealous husband with a machine gun...",27575086
9586,The Bonfire of the Vanities,False,en,Comedy|Drama,,47000000,1990-12-21,125,"After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight, and attracting the interest of a down and out reporter.",15691192
